,accessionmethod,accessionyear,accesslevel,century,classification,classificationid,colorcount,colors,commentary,contact,contextualtextcount,copyright,creditline,culture,datebegin,dated,dateend,dateoffirstpageview,dateoflastpageview,department,description,dimensions,division,edition,exhibitioncount,groupcount,id,imagecount,imagepermissionlevel,images,labeltext,lastupdate,lendingpermissionlevel,markscount,mediacount,medium,objectid,objectnumber,people,peoplecount,period,periodid,primaryimageurl,provenance,publicationcount,rank,relatedcount,seeAlso,signed,standardreferencenumber,state,style,technique,techniqueid,title,titlescount,totalpageviews,totaluniquepageviews,url,verificationlevel,verificationleveldescription,worktypes
0,Gift,1996,1,18th century,Boxes,85,0,,,am_asianmediterranean@harvard.edu,0,,"Harvard Art Museums/Arthur M. Sackler Museum, The Elaine Ehrenkranz Collection of Japanese Lacquer Boxes; Gift of Elaine Ehrenkranz",Japanese,1733,"Mid Edo period, early 18th century",1766,2009-05-17,2020-06-09,Department of Asian Art,,H. 4.9 x W. 21.4 x D. 23 cm (1 15/16 x 8 7/16 x 9 1/16 in.),Asian and Mediterranean Art,,5,1,200515,2,0,"[{'height': 570, 'iiifbaseuri': 'https://ids.lib.harvard.edu/ids/iiif/43183641', 'baseimageurl': 'https://nrs.harvard.edu/urn-3:HUAM:60122_dynmc', 'width': 1024, 'publiccaption': None, 'idsid': 43183641, 'displayorder': 1, 'format': 'image/jpeg', 'copyright': 'President and Fellows of Harvard College', 'imageid': 53695, 'renditionnumber': '60122'}, {'height': 2550, 'iiifbaseuri': 'https://ids.lib.harvard.edu/ids/iiif/43183963', 'baseimageurl': 'https://nrs.harvard.edu/urn-3:HUAM:82062_dynmc', 'width': 2173, 'publiccaption': 'detail, interior of lid', 'idsid': 43183963, 'displayorder': 2, 'format': 'image/jpeg', 'copyright': 'President and Fellows of Harvard College', 'imageid': 26002, 'renditionnumber': '82062'}]",,2020-06-25T06:11:30-0400,0,0,0,"Lacquer on wood with decoration in gold, silver, and sabi urushi (thick lacquer paste) utilizing the hiramaki-e (low-relief sprinkled design), takamaki-e (high-relief sprinkled design), and nashiji (""pear-skinned"" ground) techniques, with applied kirigane (cut gold and silver) and with shibuchi (copper-silver alloy), brass, silver, and coral inlays; stone, metal, and enamel fittings",200515,1996.242.30.A-G,,0,"Edo period, 1615-1868",248.0,https://nrs.harvard.edu/urn-3:HUAM:60122_dynmc,,1,1,0,"[{'id': 'https://iiif.harvardartmuseums.org/manifests/object/200515', 'type': 'IIIF Manifest', 'format': 'application/json', 'profile': 'http://iiif.io/api/presentation/2/context.json'}]",,,,,,,Inkstone Box (Suzuribako) with Monkey-and-Persimmon Fan Design,2,613,522,https://www.harvardartmuseums.org/collections/object/200515,2,Adequate. Object is adequately described but information may not be vetted,"[{'worktypeid': '50', 'worktype': 'box'}]"
1,Purchase,1991,1,6th century,Vessels,57,0,,,am_asianmediterranean@harvard.edu,0,,"Harvard Art Museums/Arthur M. Sackler Museum, Partial gift of Maria C. Henderson and partial purchase through the Ernest B. and Helen Pratt Dane Fund for the Acquisition of Oriental Art",Korean,500,6th century,600,2009-08-05,2020-06-09,Department of Asian Art,,H. 44.3 x Diam. 45.1 cm (17 7/16 x 17 3/4 in.),Asian and Mediterranean Art,,0,1,201395,1,0,"[{'height': 2550, 'iiifbaseuri': 'https://ids.lib.harvard.edu/ids/iiif/18720110', 'baseimageurl': 'https://nrs.harvard.edu/urn-3:HUAM:CARP06188_dynmc', 'width': 1849, 'publiccaption': None, 'idsid': 18720110, 'displayorder': 1, 'format': 'image/jpeg', 'copyright': 'President and Fellows of Harvard College', 'imageid': 138963, 'renditionnumber': 'CARP06188'}]",,2020-06-25T06:11:33-0400,0,0,0,"Gray stoneware with incised, combed, and openwork decoration.  Reportedly recovered from a tomb in Ch'angnyŏng, South Kyŏngsang province.",201395,1991.519,,0,"Three Kingdoms period, Silla, 57 BCE-668 CE",956.0,https://nrs.harvard.edu/urn-3:HUAM:CARP06188_dynmc,"Gregory (1922-1988) and Maria C. Henderson (1923-2007), Medford, MA (by 1969-1988), inherited; by Maria C. Henderson, Medford, MA (1988-1991), partial gift and partial purchase; to Harvard University Art Museums, 1991.",1,2,0,"[{'id': 'https://iiif.harvardartmuseums.org/manifests/object/201395', 'type': 'IIIF Manifest', 'format': 'application/json', 'profile': 'http://iiif.io/api/presentation/2/context.json'}]",,,,,,,Large Bowl-Type Pedestal Stand with Abstract and Openwork Decoration,1,616,542,https://www.harvardartmuseums.org/collections/object/201395,3,Good. Object is well described and information is vetted,"[{'worktypeid': '345', 'worktype': 'stand'}]"
2,Gift,2009,1,20th century,Prints,23,9,"[{'percent': 0.32941520467836, 'spectrum': '#955ba5', 'color': '#e1e1e1', 'css3': '#dcdcdc', 'hue': 'Grey'}, {'percent': 0.15497076023392, 'spectrum': '#8362aa', 'color': '#7d7d7d', 'css3': '#808080', 'hue': 'Grey'}, {'percent': 0.14, 'spectrum': '#7866ad', 'color': '#646464', 'css3': '#696969', 'hue': 'Grey'}, {'percent': 0.11105263157895, 'spectrum': '#8761aa', 'color': '#969696', 'css3': '#a9a9a9', 'hue': 'Grey'}, {'percent': 0.090584795321637, 'spectrum': '#3db657', 'color': '#4b4b4b', 'css3': '#2f4f4f', 'hue': 'Grey'}, {'percent': 0.062105263157895, 'spectrum': '#8c5fa8', 'color': '#afafaf', 'css3': '#a9a9a9', 'hue': 'Grey'}, {'percent': 0.059707602339181, 'spectrum': '#2eb45d', 'color': '#323232', 'css3': '#2f4f4f', 'hue': 'Grey'}, {'percent': 0.044444444444444, 'spectrum': '#8c5fa8', 'color': '#c8c8c8', 'css3': '#c0c0c0', 'hue': 'Grey'}, {'percent': 0.007719298245614, 'spectrum': '#1eb264', 'color': '#191919', 'css3': '#000000', 'hue': 'Grey'}]",,am_moderncontemporary@harvard.edu,0,"© Artists Rights Society (ARS), New York / VG Bild-Kunst, Bonn","Harvard Art Museums/Fogg Museum, Gift of Peter G. and Elizabeth S. Neumann",German,1924,1924,1924,2010-01-13,2020-06-10,Department of Prints,,"sheet: 34.5 x 37 cm (13 9/16 x 14 9/16 in.)
plate: 19 x 25.5 cm (7 1/2 x 10 1/16 in.)",Modern and Contemporary Art,70/70,1,1,333591,1,1,"[{'height': 1946, 'iiifbaseuri': 'https://ids.lib.harvard.edu/ids/iiif/14791281', 'baseimageurl': 'https://nrs.harvard.edu/urn-3:HUAM:DDC109383_dynmc', 'width': 2550, 'publiccaption': None, 'idsid': 14791281, 'displayorder': 1, 'format': 'image/jpeg', 'copyright': 'President and Fellows of Harvard College', 'imageid': 362707, 'renditionnumber': 'DDC109383'}]",,2020-06-25T06:17:45-0400,0,3,0,"Etching, drypoint and soft-ground on off white modern laid paper",333591,2009.193,"[{'alphasort': 'Dix, Otto', 'birthplace': 'Gera, Germany', 'name': 'Otto Dix', 'prefix': None, 'personid': 18182, 'gender': 'male', 'role': 'Artist', 'displayorder': 1, 'culture': 'German', 'displaydate': '1891 - 1969', 'deathplace': 'Singen, Germany', 'displayname': 'Otto Dix'}]",1,,,https://nrs.harvard.edu/urn-3:HUAM:DDC109383_dynmc,JB Neumann [between 1932 and 1961]. Bequested to Elsa Schmid Neumann and Peter Neumann [1961-2009]. Harvard Art Museum,0,3,0,"[{'id': 'https://iiif.harvardartmuseums.org/manifests/object/333591', 'type': 'IIIF Manifest', 'format': 'application/json', 'profile': 'http://iiif.io/api/presentation/2/context.json'}]",,Karsch 84; Rudiger 281,,,"Etching, softground etching and drypoint",4769.0,Abandoned post near Vis-en Artois (Verlassene Stellung bei Vis-en Artois),1,706,604,https://www.harvardartmuseums.org/collections/object/333591,3,Good. Object is well described and information is vetted,"[{'worktypeid': '280', 'worktype': 'print'}]"
3,Gift,1978,1,18th century,Drawings,21,6,"[{'percent': 0.25892655367232, 'spectrum': '#e9715f', 'color': '#e1c8af', 'css3': '#f5deb3', 'hue': 'Orange'}, {'percent': 0.23152542372881, 'spectrum': '#e66c64', 'color': '#c8af96', 'css3': '#d2b48c', 'hue': 'Brown'}, {'percent': 0.21333333333333, 'spectrum': '#c25687', 'color': '#af967d', 'css3': '#bc8f8f', 'hue': 'Brown'}, {'percent': 0.18536723163842, 'spectrum': '#c85783', 'color': '#af7d64', 'css3': '#cd5c5c', 'hue': 'Brown'}, {'percent': 0.084689265536723, 'spectrum': '#c25687', 'color': '#96644b', 'css3': '#a0522d', 'hue': 'Brown'}, {'percent': 0.026158192090395, 'spectrum': '#e9715f', 'color': '#e1e1c8', 'css3': '#dcdcdc', 'hue': 'Green'}]",,am_europeanamerican@harvard.edu,0,,"Harvard Art Museums/Fogg Museum, Gift of Therese Kuhn Straus in memory of her husband, Herbert N. Straus, Harvard Class of 1903",French,1759,c. 1764,1769,2009-08-01,2020-06-11,Department of Drawings,,29.2 x 37.2 cm (11 1/2 x 14 5/8 in.),European and American Art,,0,2,295813,1,0,"[{'height': 2018, 'iiifbaseuri': 'https://ids.lib.harvard.edu/ids/iiif/17388899', 'baseimageurl': 'https://nrs.harvard.edu/urn-3:HUAM:61234_dynmc', 'width': 2550, 'publiccaption': None, 'idsid': 17388899, 'displayorder': 1, 'format': 'image/jpeg', 'copyright': 'President and Fellows of Harvard College', 'imageid': 54292, 'renditionnumber': '61234'}]",,2020-06-25T06:15:59-0400,0,2,0,"Red chalk on cream antique laid paper, laid down on a decorated mount",295813,1978.51,"[{'alphasort': 'Robert, Hubert', 'birthplace': 'Paris', 'name': 'Hubert Robert', 'prefix': None, 'personid': 28325, 'gender': 'male', 'role': 'Artist', 'displayorder': 1, 'culture': 'French', 'displaydate': '1733 - 1808', 'deathplace': 'Paris', 'displayname': 'Hubert Robert'}]",1,,,https://nrs.harvard.edu/urn-3:HUAM:61234_dynmc,"Therese Kuhn Straus, New York, gift; to Harvard Art Museums/Fogg Museum, Gift of Therese Kuhn Straus in memory of her husband, Herbert N. Straus, Harvard Class of 1903, 1978.51",1,4,0,"[{'id': 'https://iiif.harvardartmuseums.org/manifests/object/295813', 'type': 'IIIF Manifest', 'format': 'application/json', 'profile': 'http://iiif.io/api/presentation/2/context.json'}]",,,,,,,Fountain in the Garden of an Italian Villa,2,629,535,https://www.harvardartmuseums.org/collections/object/295813,4,"Best. Object is extensively researched, well described and information is vetted","[{'worktypeid': '125', 'worktype': 'drawing'}]"
4,Gift,1984,1,19th century,Manuscripts,185,0,,,am_asianmediterranean@harvard.edu,0,,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Philip Hofer",Thai,1800,19th century,1899,2010-10-13,2020-06-11,Department of Asian Art,,,Asian and Mediterranean Art,,0,2,54045,1,0,"[{'height': 1614, 'iiifbaseuri': 'https://ids.lib.harvard.edu/ids/iiif/17825998', 'baseimageurl': 'https://nrs.harvard.edu/urn-3:HUAM:76710_dynmc', 'width': 2550, 'publiccaption': 'Set of four palm-leaf manuscripts', 'idsid': 17825998, 'displayorder': 1, 'format': 'image/jpeg', 'copyright': 'President and Fellows of Harvard College', 'imageid': 35817, 'renditionnumber': '76710'}]",,2020-06-25T06:06:43-0400,0,0,0,,54045,1984.502,,0,,,https://nrs.harvard.edu/urn-3:HUAM:76710_dynmc,,0,5,4,"[{'id': 'https://iiif.harvardartmuseums.org/manifests/object/54045', 'type': 'IIIF Manifest', 'format': 'application/json', 'profile': 'http://iiif.io/api/presentation/2/context.json'}]",,,,,,,Illustrated Buddhist Text (in Khmer script),1,668,578,https://www.harvardartmuseums.org/collections/object/54045,0,Unchecked. Object information has not been verified for completeness and has not been vetted,"[{'worktypeid': '208', 'worktype': 'manuscript'}]"
5,Gift,2003,1,21st century,Paintings,26,9,"[{'percent': 0.29954802259887, 'spectrum': '#3db657', 'color': '#4b4b4b', 'css3': '#2f4f4f', 'hue': 'Grey'}, {'percent': 0.27220338983051, 'spectrum': '#2eb45d', 'color': '#323232', 'css3': '#2f4f4f', 'hue': 'Grey'}, {'percent': 0.14745762711864, 'spectrum': '#7866ad', 'color': '#646464', 'css3': '#696969', 'hue': 'Grey'}, {'percent': 0.11598870056497, 'spectrum': '#1eb264', 'color': '#191919', 'css3': '#000000', 'hue': 'Grey'}, {'percent': 0.057909604519774, 'spectrum': '#8e5ea7', 'color': '#afaf96', 'css3': '#a9a9a9', 'hue': 'Green'}, {'percent': 0.050508474576271, 'spectrum': '#8362aa', 'color': '#7d7d7d', 'css3': '#808080', 'hue': 'Grey'}, {'percent': 0.03909604519774, 'spectrum': '#8e5ea7', 'color': '#96967d', 'css3': '#808080', 'hue': 'Green'}, {'percent': 0.016327683615819, 'spectrum': '#b55592', 'color': '#c8c8af', 'css3': '#c0c0c0', 'hue': 'Green'}, {'percent': 0.00096045197740113, 'spectrum': '#1eb264', 'color': '#000019', 'css3': '#000000', 'hue': 'Black'}]",,am_moderncontemporary@harvard.edu,0,© Martin Kline,"Harvard Art Museums/Fogg Museum, Gift of the artist in honor of Linda Norden",American,2001,2001,2001,2009-05-21,2020-06-11,Department of Modern & Contemporary Art,,157.5 x 124.5 x 12.7 cm (62 x 49 x 5 in.),Modern and Contemporary Art,,3,1,76869,1,1,"[{'height': 2550, 'iiifbaseuri': 'https://ids.lib.harvard.edu/ids/iiif/18204665', 'baseimageurl': 'https://nrs.harvard.edu/urn-3:HUAM:78451_dynmc', 'width': 2023, 'publiccaption': None, 'idsid': 18204665, 'displayorder': 1, 'format': 'image/jpeg', 'copyright': 'President and Fellows of Harvard College', 'imageid': 87380, 'renditionnumber': '78451'}]",,2020-06-25T06:07:14-0400,0,0,0,Encaustic on panel,76869,2003.237,"[{'alphasort': 'Kline, Martin', 'birthplace': 'Norwalk, Ohio', 'name': 'Martin Kline', 'prefix': None, 'personid': 23710, 'gender': 'male', 'role': 'Artist', 'displayorder': 1, 'culture': 'American', 'displaydate': 'born 1961', 'deathplace': None, 'displayname': 'Martin Kline'}]",1,,,https://nrs.harvard.edu/urn-3:HUAM:78451_dynmc,"Martin Kline, Rhinebeck, New York, gift; to Harvard University Art Museums, 2003.",1,6,0,"[{'id': 'https://iiif.harvardartmuseums.org/manifests/object/76869', 'type': 'IIIF Manifest', 'format': 'application/json', 'profile': 'http://iiif.io/api/presentation/2/context.json'}]",,,,,,,Dorian Gray,1,1062,855,https://www.harvardartmuseums.org/collections/object/76869,3,Good. Object is well described and information is vetted,"[{'worktypeid': '244', 'worktype': 'painting'}]"
6,Purchase,1972,1,20th century,Photographs,17,10,"[{'percent': 0.46293785310734, 'spectrum': '#2eb45d', 'color': '#323232', 'css3': '#2f4f4f', 'hue': 'Grey'}, {'percent': 0.23774011299435, 'spectrum': '#1eb264', 'color': '#191919', 'css3': '#000000', 'hue': 'Grey'}, {'percent': 0.065084745762712, 'spectrum': '#3db657', 'color': '#4b4b4b', 'css3': '#2f4f4f', 'hue': 'Grey'}, {'percent': 0.057175141242938, 'spectrum': '#8c5fa8', 'color': '#afafaf', 'css3': '#a9a9a9', 'hue': 'Grey'}, {'percent': 0.047005649717514, 'spectrum': '#8761aa', 'color': '#969696', 'css3': '#a9a9a9', 'hue': 'Grey'}, {'percent': 0.04361581920904, 'spectrum': '#8c5fa8', 'color': '#c8c8c8', 'css3': '#c0c0c0', 'hue': 'Grey'}, {'percent': 0.03638418079096, 'spectrum': '#8362aa', 'color': '#7d7d7d', 'css3': '#808080', 'hue': 'Grey'}, {'percent': 0.029717514124294, 'spectrum': '#7866ad', 'color': '#646464', 'css3': '#696969', 'hue': 'Grey'}, {'percent': 0.015762711864407, 'spectrum': '#955ba5', 'color': '#e1e1e1', 'css3': '#dcdcdc', 'hue': 'Grey'}, {'percent': 0.0045762711864407, 'spectrum': '#955ba5', 'color': '#fafafa', 'css3': '#fffafa', 'hue': 'White'}]",,am_moderncontemporary@harvard.edu,0,© Estate of Aaron Siskind,"Harvard Art Museums/Fogg Museum, National Endowment for the Arts Grant",American,1951,1951,1951,2009-08-14,2020-06-12,Department of Photographs,,actual: 49.2 x 38.8 cm (19 3/8 x 15 1/4 in.),Modern and Contemporary Art,,5,2,302274,2,1,"[{'height': 2550, 'iiifbaseuri': 'https://ids.lib.harvard.edu/ids/iiif/46080018', 'baseimageurl': 'https://nrs.harvard.edu/urn-3:HUAM:DDC250266_dynmc', 'width': 2014, 'publiccaption': None, 'idsid': 46080018, 'displayorder': 1, 'format': 'image/jpeg', 'copyright': 'President and Fellows of Harvard College', 'imageid': 426948, 'renditionnumber': 'DDC250266'}, {'height': 1024, 'iiifbaseuri': 'https://ids.lib.harvard.edu/ids/iiif/43154768', 'baseimageurl': 'https://nrs.harvard.edu/urn-3:HUAM:LEG1039_dynmc', 'width': 812, 'publiccaption': None, 'idsid': 43154768, 'displayorder': 2, 'format': 'image/jpeg', 'copyright': 'President and Fellows of Harvard College', 'imageid': 120991, 'renditionnumber': 'LEG1039'}]",,2020-06-25T06:16:19-0400,0,0,0,,302274,P1972.216,"[{'alphasort': 'Siskind, Aaron', 'birthplace': 'New York, N.Y., USA', 'name': 'Aaron Siskind', 'prefix': None, 'personid': 28734, 'gender': 'male', 'role': 'Artist', 'displayorder': 1, 'culture': 'American', 'displaydate': '1903 - 1991', 'deathplace': 'Providence, R.I., USA', 'displayname': 'Aaron Siskind'}]",1,,,https://nrs.harvard.edu/urn-3:HUAM:DDC250266_dynmc,"Light Gallery, New York, New York, sold to the Fogg Art Museum, 1972.
",3,7,0,"[{'id': 'https://iiif.harvardartmuseums.org/manifests/object/302274', 'type': 'IIIF Manifest', 'format': 'application/json', 'profile': 'http://iiif.io/api/presentation/2/context.json'}]",,,,,Gelatin silver print,123.0,New York 7,1,636,539,https://www.harvardartmuseums.org/collections/object/302274,3,Good. Object is well described and information is vetted,"[{'worktypeid': '261', 'worktype': 'photograph'}]"
7,Gift,2009,1,20th century,Prints,23,10,"[{'percent': 0.44787878787879, 'spectrum': '#955ba5', 'color': '#e1e1e1', 'css3': '#dcdcdc', 'hue': 'Grey'}, {'percent': 0.18551515151515, 'spectrum': '#33b55b', 'color': '#4baf96', 'css3': '#5f9ea0', 'hue': 'Green'}, {'percent': 0.12284848484848, 'spectrum': '#8c5fa8', 'color': '#c8c8c8', 'css3': '#c0c0c0', 'hue': 'Grey'}, {'percent': 0.034727272727273, 'spectrum': '#7069af', 'color': '#96c8af', 'css3': '#8fbc8f', 'hue': 'Green'}, {'percent': 0.033636363636364, 'spectrum': '#8c5fa8', 'color': '#afafaf', 'css3': '#a9a9a9', 'hue': 'Grey'}, {'percent': 0.029878787878788, 'spectrum': '#8761aa', 'color': '#969696', 'css3': '#a9a9a9', 'hue': 'Grey'}, {'percent': 0.024969696969697, 'spectrum': '#3973b9', 'color': '#327d7d', 'css3': '#2e8b57', 'hue': 'Green'}, {'percent': 0.024727272727273, 'spectrum': '#7069af', 'color': '#7daf96', 'css3': '#8fbc8f', 'hue': 'Green'}, {'percent': 0.022181818181818, 'spectrum': '#8362aa', 'color': '#7d7d7d', 'css3': '#808080', 'hue': 'Grey'}, {'percent': 0.013757575757576, 'spectrum': '#7866ad', 'color': '#646464', 'css3': '#696969', 'hue': 'Grey'}]",,am_moderncontemporary@harvard.edu,0,"© Artists Rights Society (ARS), New York / ADAGP, Paris / Estate of Marcel Duchamp","Harvard Art Museums/Fogg Museum, Gift of Peter G. and Elizabeth S. Neumann",French,1938,1938,1938,2010-01-18,2020-06-12,Department of Prints,,sheet: 31.7 x 23 cm (12 1/2 x 9 1/16 in.),Modern and Contemporary Art,2000,1,1,333587,1,0,"[{'height': 2550, 'iiifbaseuri': 'https://ids.lib.harvard.edu/ids/iiif/14791280', 'baseimageurl': 'https://nrs.harvard.edu/urn-3:HUAM:DDC109382_dynmc', 'width': 1872, 'publiccaption': None, 'idsid': 14791280, 'displayorder': 1, 'format': 'image/jpeg', 'copyright': 'President and Fellows of Harvard College', 'imageid': 362706, 'renditionnumber': 'DDC109382'}]",,2020-06-25T06:17:45-0400,0,0,0,Offset lithograph on white wove paper,333587,2009.189,"[{'alphasort': 'Duchamp, Marcel', 'birthplace': 'Blainville, Normandy, France', 'name': 'Marcel Duchamp', 'prefix': None, 'personid': 18774, 'gender': 'unknown', 'role': 'Artist', 'displayorder': 1, 'culture': 'French', 'displaydate': '1887 - 1968', 'deathplace': 'Neuilly France', 'displayname': 'Marcel Duchamp'}]",1,,,https://nrs.harvard.edu/urn-3:HUAM:DDC109382_dynmc,JB Neumann [between 1932 and 1961]. Bequested to Elsa Schmid Neumann and Peter Neumann [1961-2009]. Harvard Art Museum,0,8,0,"[{'id': 'https://iiif.harvardartmuseums.org/manifests/object/333587', 'type': 'IIIF Manifest', 'format': 'application/json', 'profile': 'http://iiif.io/api/presentation/2/context.json'}]",,Schwarz 406,ii/iii,,Offset print,6961.0,Monte Carlo Bond,1,845,744,https://www.harvardartmuseums.org/collections/object/333587,3,Good. Object is well described and information is vetted,"[{'worktypeid': '280', 'worktype': 'print'}]"
8,Purchase,2008,1,20th century,Photographs,17,0,,,am_moderncontemporary@harvard.edu,0,,"Harvard Art Museums/Fogg Museum, Richard and Ronay Menschel Fund for the Acquisition of Photographs",American,1951,1951,1951,2009-05-12,2020-06-12,Department of Photographs,,"image: 22.2 x 34 cm (8 3/4 x 13 3/8 in.)
sheet: 27.5 x 35.5 cm (10 13/16 x 14 in.)",Modern and Contemporary Art,,0,2,320567,2,1,"[{'height': 1667, 'iiifbaseuri': 'https://ids.lib.harvard.edu/ids/iiif/10466656', 'baseimageurl': 'https://nrs.harvard.edu/urn-3:HUAM:DDC105926_dynmc', 'width': 2550, 'publiccaption': None, 'idsid': 10466656, 'displayorder': 1, 'format': 'image/jpeg', 'copyright': 'President and Fellows of Harvard College', 'imageid': 320875, 'renditionnumber': 'DDC105926'}, {'height': 1662, 'iiifbaseuri': 'https://ids.lib.harvard.edu/ids/iiif/20434940', 'baseimageurl': 'https://nrs.harvard.edu/urn-3:HUAM:INV177643_dynmc', 'width': 2550, 'publiccaption': None, 'idsid': 20434940, 'displayorder': 2, 'format': 'image/jpeg', 'copyright': 'President and Fellows of Harvard College', 'imageid': 292285, 'renditionnumber': 'INV177643'}]",,2020-06-25T06:17:16-0400,0,1,0,,320567,2008.20,"[{'alphasort': 'Callahan, Harry N.', 'birthplace': 'Detroit, Michigan', 'name': 'Harry Callahan', 'prefix': None, 'personid': 34536, 'gender': 'male', 'role': 'Artist', 'displayorder': 1, 'culture': 'American', 'displaydate': '1912 - 1999', 'deathplace': None, 'displayname': 'Harry Callahan'}]",1,,,https://nrs.harvard.edu/urn-3:HUAM:DDC105926_dynmc,,0,9,0,"[{'id': 'https://iiif.harvardartmuseums.org/manifests/object/320567', 'type': 'IIIF Manifest', 'format': 'application/json', 'profile': 'http://iiif.io/api/presentation/2/context.json'}]","recto, b.r. corner, in graphite:  Harry Callahan",,,,Dye transfer print,1615.0,Detroit (Ragsdale Beauty Shop),1,858,697,https://www.harvardartmuseums.org/collections/object/320567,3,Good. Object is well described and information is vetted,"[{'worktypeid': '261', 'worktype': 'photograph'}]"
9,Gift,2000,1,16th century,Prints,23,7,"[{'percent': 0.40814102564103, 'spectrum': '#8c5fa8', 'color': '#c8c8c8', 'css3': '#c0c0c0', 'hue': 'Grey'}, {'percent': 0.14358974358974, 'spectrum': '#8761aa', 'color': '#969696', 'css3': '#a9a9a9', 'hue': 'Grey'}, {'percent': 0.12525641025641, 'spectrum': '#8c5fa8', 'color': '#afafaf', 'css3': '#a9a9a9', 'hue': 'Grey'}, {'percent': 0.12435897435897, 'spectrum': '#8362aa', 'color': '#7d7d7d', 'css3': '#808080', 'hue': 'Grey'}, {'percent': 0.095512820512821, 'spectrum': '#7866ad', 'color': '#646464', 'css3': '#696969', 'hue': 'Grey'}, {'percent': 0.075769230769231, 'spectrum': '#3db657', 'color': '#4b4b4b', 'css3': '#2f4f4f', 'hue': 'Grey'}, {'percent': 0.027371794871795, 'spectrum': '#2eb45d', 'color': '#323232', 'css3': '#2f4f4f', 'hue': 'Grey'}]",,am_europeanamerican@harvard.edu,0,,"Harvard Art Museums/Fogg Museum, Gift of Marjorie B. Cohn in honor of Jakob Rosenberg",German,1497,c. 1502,1507,2009-08-14,2020-06-12,Department of Prints,,sheet: 32.6 × 22.4 cm (12 13/16 × 8 13/16 in.),European and American Art,,2,2,233069,1,0,"[{'height': 2550, 'iiifbaseuri': 'https://ids.lib.harvard.edu/ids/iiif/20029120', 'baseimageurl': 'https://nrs.harvard.edu/urn-3:HUAM:DDC103414_dynmc', 'width': 1784, 'publiccaption': None, 'idsid': 20029120, 'displayorder': 1, 'format': 'image/jpeg', 'copyright': 'President and Fellows of Harvard College', 'imageid': 257843, 'renditionnumber': 'DDC103414'}]",,2020-06-25T06:13:12-0400,0,0,0,Engraving on cream antique laid paper,233069,M24944,"[{'alphasort': 'Dürer, Albrecht', 'birthplace': 'Nuremberg', 'name': 'Albrecht Dürer', 'prefix': None, 'personid': 18947, 'gender': 'male', 'role': 'Artist', 'displayorder': 1, 'culture': 'German', 'displaydate': '1471 - 1528', 'deathplace': 'Nuremberg', 'displayname': 'Albrecht Dürer'}]",1,,,https://nrs.harvard.edu/urn-3:HUAM:DDC103414_dynmc,,2,10,0,"[{'id': 'https://iiif.harvardartmuseums.org/manifests/object/233069', 'type': 'IIIF Manifest', 'format': 'application/json', 'profile': 'http://iiif.io/api/presentation/2/context.json'}]",Monogram A D,H. 72; B. 77,,,Engraving,98.0,Nemesis,2,1116,885,https://www.harvardartmuseums.org/collections/object/233069,3,Good. Object is well described and information is vetted,"[{'worktypeid': '280', 'worktype': 'print'}]"
